source,destination,similarity,rank,source_preview,destination_preview
Entities:8,Entities:87,0.8698144083899272,1,"Cyw6XrnL_city {
  ""map_data"": {
    ""type"": ""FeatureCollection"",
    ""features"": [
      {
        ""type"": ""Feature"",
        ""id"": ""values"",
        ...","eW2X5rhF_city {
  ""map_data"": {
    ""type"": ""FeatureCollection"",
    ""features"": [
      {
        ""type"": ""Feature"",
        ""id"": ""values"",
        ..."
Entities:87,Entities:8,0.8698144083899272,1,"eW2X5rhF_city {
  ""map_data"": {
    ""type"": ""FeatureCollection"",
    ""features"": [
      {
        ""type"": ""Feature"",
        ""id"": ""values"",
        ...","Cyw6XrnL_city {
  ""map_data"": {
    ""type"": ""FeatureCollection"",
    ""features"": [
      {
        ""type"": ""Feature"",
        ""id"": ""values"",
        ..."
Entities:24,Entities:34,0.835007475080232,1,"5PSoBIaV ""The Black Mace Tavern"" from Harad in Vo'il ""The Black Mace Tavern"" > > Vo'il > Village of harad > Keeper Owned and managed by Gerin of Kothi...","h9QSTC12 ""The Flaming Spear Tavern"" from Fearless Wilds in Vo'il ""The Flaming Spear Tavern"" > > Vo'il Keeper Owned and managed by Elspethria Fisherman..."
Entities:34,Entities:24,0.835007475080232,1,"h9QSTC12 ""The Flaming Spear Tavern"" from Fearless Wilds in Vo'il ""The Flaming Spear Tavern"" > > Vo'il Keeper Owned and managed by Elspethria Fisherman...","5PSoBIaV ""The Black Mace Tavern"" from Harad in Vo'il ""The Black Mace Tavern"" > > Vo'il > Village of harad > Keeper Owned and managed by Gerin of Kothi..."
Entities:22,Entities:95,0.7708699751317946,1,"tTe6ZzVO Bookstore in Harad Arathis's Pages ( Bookstore ) > > Vo'il > Village of harad > Curator: Arathis of Ashamar .  He has glowing black eyes, sho...","XLhFOgOx Bookstore in Dorith Agia's Pages ( Bookstore ) > > Vo'il > Village of dorith > Curator: Agia Frodegard .  She has delicate makeup, glowing da..."
Entities:95,Entities:22,0.7708699751317946,1,"XLhFOgOx Bookstore in Dorith Agia's Pages ( Bookstore ) > > Vo'il > Village of dorith > Curator: Agia Frodegard .  She has delicate makeup, glowing da...","tTe6ZzVO Bookstore in Harad Arathis's Pages ( Bookstore ) > > Vo'il > Village of harad > Curator: Arathis of Ashamar .  He has glowing black eyes, sho..."
Entities:13,Entities:14,0.5353140195091977,1,"QNnHo0l2 Liquor in Harad Norwin's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Norwin Webber .  He has piercing blue eyes, thick sideb...","MAsn5B5z Liquor in Harad Tyriantheus's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Tyriantheus of Balaal .  He has sleepy brown eyes,..."
Entities:14,Entities:13,0.5353140195091977,1,"MAsn5B5z Liquor in Harad Tyriantheus's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Tyriantheus of Balaal .  He has sleepy brown eyes,...","QNnHo0l2 Liquor in Harad Norwin's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Norwin Webber .  He has piercing blue eyes, thick sideb..."
Entities:25,Entities:26,0.47083015793649263,1,"Tuhe0nBd Village District (district) in Harad Village District > > Vo'il > Village of harad Shops & Services Tavern (""The Black Mace Tavern"") ◾ Tanner...","0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M..."
Entities:26,Entities:25,0.47083015793649263,1,"0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M...","Tuhe0nBd Village District (district) in Harad Village District > > Vo'il > Village of harad Shops & Services Tavern (""The Black Mace Tavern"") ◾ Tanner..."
Entities:24,Entities:26,0.4611093083313016,2,"5PSoBIaV ""The Black Mace Tavern"" from Harad in Vo'il ""The Black Mace Tavern"" > > Vo'il > Village of harad > Keeper Owned and managed by Gerin of Kothi...","0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M..."
Entities:26,Entities:24,0.4611093083313016,2,"0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M...","5PSoBIaV ""The Black Mace Tavern"" from Harad in Vo'il ""The Black Mace Tavern"" > > Vo'il > Village of harad > Keeper Owned and managed by Gerin of Kothi..."
Entities:26,Entities:34,0.45397949787897485,3,"0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M...","h9QSTC12 ""The Flaming Spear Tavern"" from Fearless Wilds in Vo'il ""The Flaming Spear Tavern"" > > Vo'il Keeper Owned and managed by Elspethria Fisherman..."
Entities:34,Entities:26,0.45397949787897485,2,"h9QSTC12 ""The Flaming Spear Tavern"" from Fearless Wilds in Vo'il ""The Flaming Spear Tavern"" > > Vo'il Keeper Owned and managed by Elspethria Fisherman...","0SODPUEB Village of Harad from The Lands of Vo'il harad > > The Lands of Vo'il Population: 405 villagers Village Shops & Services Tavern (""The Black M..."
Entities:52,Entities:79,0.4291076204559422,1,"FstfgXXx Fearless Wilds > > The Lands of Vo'il Once a prison of the demon-queen,  these wilds now have a settlement, are frequently travelled, and a s...","LKr88oqA Vicious Crags > > The Lands of Vo'il Once the birthplace of the dark lord,  these crags are barren and mysterious. Regional Weather 2d6 All S..."
Entities:79,Entities:52,0.4291076204559422,1,"LKr88oqA Vicious Crags > > The Lands of Vo'il Once the birthplace of the dark lord,  these crags are barren and mysterious. Regional Weather 2d6 All S...","FstfgXXx Fearless Wilds > > The Lands of Vo'il Once a prison of the demon-queen,  these wilds now have a settlement, are frequently travelled, and a s..."
Entities:16,Entities:92,0.4277116872647586,1,ir9qkPUJ Animal Supplies in Harad Alamanda's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of harad > Merchant: Alamanda of Dokar .  She has flo...,VqYDurWw Animal Supplies in Dorith Elenia's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Elenia of Headbone .  They have ...
Entities:92,Entities:16,0.4277116872647586,1,VqYDurWw Animal Supplies in Dorith Elenia's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Elenia of Headbone .  They have ...,ir9qkPUJ Animal Supplies in Harad Alamanda's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of harad > Merchant: Alamanda of Dokar .  She has flo...
Entities:92,Entities:96,0.41918628754144405,2,VqYDurWw Animal Supplies in Dorith Elenia's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Elenia of Headbone .  They have ...,FZyOQkf7 Animal Supplies in Dorith Isoard's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Isoard of Kothian .  He has pier...
Entities:96,Entities:92,0.41918628754144405,1,FZyOQkf7 Animal Supplies in Dorith Isoard's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Isoard of Kothian .  He has pier...,VqYDurWw Animal Supplies in Dorith Elenia's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Elenia of Headbone .  They have ...
Entities:91,Entities:98,0.38002027806534877,1,dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...,"awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a..."
Entities:98,Entities:91,0.38002027806534877,1,"awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a...",dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...
Entities:16,Entities:96,0.3648664716898814,2,ir9qkPUJ Animal Supplies in Harad Alamanda's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of harad > Merchant: Alamanda of Dokar .  She has flo...,FZyOQkf7 Animal Supplies in Dorith Isoard's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Isoard of Kothian .  He has pier...
Entities:96,Entities:16,0.3648664716898814,2,FZyOQkf7 Animal Supplies in Dorith Isoard's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of dorith > Merchant: Isoard of Kothian .  He has pier...,ir9qkPUJ Animal Supplies in Harad Alamanda's Barn & Yarn ( Animal Supplies ) > > Vo'il > Village of harad > Merchant: Alamanda of Dokar .  She has flo...
Entities:89,Entities:94,0.3307349265142119,1,GZJoxl0u Armor & Weapons in Dorith Hartwin's Spear ( Armor & Weapons ) > > Vo'il > Village of dorith > Blacksmith: Hartwin of Harad .  He has thin whi...,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re..."
Entities:94,Entities:89,0.3307349265142119,1,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re...",GZJoxl0u Armor & Weapons in Dorith Hartwin's Spear ( Armor & Weapons ) > > Vo'il > Village of dorith > Blacksmith: Hartwin of Harad .  He has thin whi...
Entities:17,Entities:94,0.30374719225027147,1,"X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long...","Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re..."
Entities:94,Entities:17,0.30374719225027147,2,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re...","X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long..."
Entities:91,Entities:94,0.28637489995336596,2,dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re..."
Entities:94,Entities:91,0.28637489995336596,3,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re...",dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...
Entities:94,Entities:98,0.28451230699903884,4,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re...","awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a..."
Entities:98,Entities:94,0.28451230699903884,2,"awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a...","Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re..."
Entities:14,Entities:17,0.2840018703662237,2,"MAsn5B5z Liquor in Harad Tyriantheus's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Tyriantheus of Balaal .  He has sleepy brown eyes,...","X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long..."
Entities:17,Entities:14,0.2840018703662237,2,"X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long...","MAsn5B5z Liquor in Harad Tyriantheus's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Tyriantheus of Balaal .  He has sleepy brown eyes,..."
Entities:89,Entities:91,0.26561589232365157,2,GZJoxl0u Armor & Weapons in Dorith Hartwin's Spear ( Armor & Weapons ) > > Vo'il > Village of dorith > Blacksmith: Hartwin of Harad .  He has thin whi...,dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...
Entities:91,Entities:89,0.26561589232365157,3,dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...,GZJoxl0u Armor & Weapons in Dorith Hartwin's Spear ( Armor & Weapons ) > > Vo'il > Village of dorith > Blacksmith: Hartwin of Harad .  He has thin whi...
Entities:95,Entities:98,0.25668404341998974,2,"XLhFOgOx Bookstore in Dorith Agia's Pages ( Bookstore ) > > Vo'il > Village of dorith > Curator: Agia Frodegard .  She has delicate makeup, glowing da...","awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a..."
Entities:98,Entities:95,0.25668404341998974,3,"awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a...","XLhFOgOx Bookstore in Dorith Agia's Pages ( Bookstore ) > > Vo'il > Village of dorith > Curator: Agia Frodegard .  She has delicate makeup, glowing da..."
Entities:13,Entities:17,0.2510210491213991,2,"QNnHo0l2 Liquor in Harad Norwin's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Norwin Webber .  He has piercing blue eyes, thick sideb...","X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long..."
Entities:17,Entities:13,0.2510210491213991,3,"X8GTw7Bp Craft in Harad Morbida's Handmades ( Craft ) > > Vo'il > Village of harad > Merchant: Morbida of Headbone .  She has glowing brown eyes, long...","QNnHo0l2 Liquor in Harad Norwin's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Norwin Webber .  He has piercing blue eyes, thick sideb..."
Entities:10,Entities:94,0.24872436314630342,1,"jlEKEgZn Hatter in Harad Grimhar's Top Hat ( Hatter ) > > Vo'il > Village of harad > Hatter: Grimhar of Dorith .  He has piercing blue eyes, thin red ...","Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re..."
Entities:94,Entities:10,0.24872436314630342,5,"Qow2ie1Z Craft in Dorith Rosin's Workshop ( Craft ) > > Vo'il > Village of dorith > Merchant: Rosin of Dokar .  He has a frowny expression, bulging re...","jlEKEgZn Hatter in Harad Grimhar's Top Hat ( Hatter ) > > Vo'il > Village of harad > Hatter: Grimhar of Dorith .  He has piercing blue eyes, thin red ..."
Entities:88,Entities:91,0.24372367714059706,1,"njO7yhLX Tinkerer in Dorith Rothward's Fix-it-All ( Tinkerer ) > > Vo'il > Village of dorith > Tinkerer: Rothward Altabella .  He has cold dark eyes, ...",dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...
Entities:91,Entities:88,0.24372367714059706,4,dZ2FWBvZ General Goods in Dorith Grimhar's Reserves ( General Goods ) > > Vo'il > Village of dorith > Merchant: Grimhar Calomaria .  He has a frowny e...,"njO7yhLX Tinkerer in Dorith Rothward's Fix-it-All ( Tinkerer ) > > Vo'il > Village of dorith > Tinkerer: Rothward Altabella .  He has cold dark eyes, ..."
Entities:88,Entities:98,0.24256225673524978,2,"njO7yhLX Tinkerer in Dorith Rothward's Fix-it-All ( Tinkerer ) > > Vo'il > Village of dorith > Tinkerer: Rothward Altabella .  He has cold dark eyes, ...","awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a..."
Entities:98,Entities:88,0.24256225673524978,4,"awJ8h6Ky Occult in Dorith Reinwar's Ritual Goods ( Occult ) > > Vo'il > Village of dorith > Curator: Reinwar Samanilde .  He has glowing green eyes, a...","njO7yhLX Tinkerer in Dorith Rothward's Fix-it-All ( Tinkerer ) > > Vo'il > Village of dorith > Tinkerer: Rothward Altabella .  He has cold dark eyes, ..."
Entities:9,Entities:93,0.24198320247169403,1,v1DUw1ad Tanner in Harad Materia's Hides and Leathers ( Tanner ) > > Vo'il > Village of harad > Tanner: Materia of Dorith .  She has haunted dark eyes...,37DAIJzF Leatherworker in Dorith Niriella's Leathers ( Leatherworker ) > > Vo'il > Village of dorith > Leatherworker: Niriella of Kothian .  She has s...
Entities:93,Entities:9,0.24198320247169403,1,37DAIJzF Leatherworker in Dorith Niriella's Leathers ( Leatherworker ) > > Vo'il > Village of dorith > Leatherworker: Niriella of Kothian .  She has s...,v1DUw1ad Tanner in Harad Materia's Hides and Leathers ( Tanner ) > > Vo'il > Village of harad > Tanner: Materia of Dorith .  She has haunted dark eyes...
Entities:12,Entities:14,0.2412608926544767,1,"IxKnq0rN Bakery in Harad Guerro's Baguette ( Bakery ) > > Vo'il > Village of harad > Bakerer: Guerro of Devilville .  He has a strong, prominent chin,...","MAsn5B5z Liquor in Harad Tyriantheus's Mixtures ( Liquor ) > > Vo'il > Village of harad > Merchant: Tyriantheus of Balaal .  He has sleepy brown eyes,..."
